2026-01-13 12:56:39 | INFO | __main__:main:45 | Database initialized
2026-01-13 12:56:39 | INFO | modules.bot:initialize:44 | Bot handlers registered
2026-01-13 12:56:39 | INFO | __main__:main:50 | Bot initialized
2026-01-13 12:56:39 | INFO | __main__:main:53 | Starting STELS-Support bot...
2026-01-13 12:56:39 | INFO | modules.bot:start:48 | Bot started polling
2026-01-13 12:56:43 | INFO | modules.bot:request_manager:438 | Notification sent to staff 8035667634 for chat 1
2026-01-13 12:58:15 | INFO | __main__:main:45 | Database initialized
2026-01-13 12:58:15 | INFO | modules.bot:initialize:44 | Bot handlers registered
2026-01-13 12:58:15 | INFO | __main__:main:50 | Bot initialized
2026-01-13 12:58:15 | INFO | __main__:main:53 | Starting STELS-Support bot...
2026-01-13 12:58:15 | INFO | modules.bot:start:48 | Bot started polling
2026-01-13 12:58:55 | INFO | __main__:main:45 | Database initialized
2026-01-13 12:58:55 | INFO | modules.bot:initialize:44 | Bot handlers registered
2026-01-13 12:58:55 | INFO | __main__:main:50 | Bot initialized
2026-01-13 12:58:55 | INFO | __main__:main:53 | Starting STELS-Support bot...
2026-01-13 12:58:55 | INFO | modules.bot:start:48 | Bot started polling
2026-01-13 13:00:10 | INFO | modules.bot:start_command:93 | Created new chat for user 1012811842
2026-01-13 13:06:34 | INFO | modules.bot:request_manager:479 | Notification sent to staff 8035667634 for chat 2
2026-01-13 13:14:39 | INFO | __main__:main:45 | Database initialized
2026-01-13 13:14:39 | INFO | modules.bot:initialize:44 | Bot handlers registered
2026-01-13 13:14:39 | INFO | __main__:main:50 | Bot initialized
2026-01-13 13:14:39 | INFO | __main__:main:53 | Starting STELS-Support bot...
2026-01-13 13:14:39 | INFO | modules.bot:start:48 | Bot started polling
2026-01-13 13:20:08 | INFO | modules.bot:start_command:100 | Created new chat for user 5561600494
2026-01-13 13:47:42 | INFO | modules.bot:start_command:100 | Created new chat for user 1056853802
2026-01-13 13:52:53 | INFO | modules.bot:start_command:100 | Created new chat for user 5438290317
2026-01-13 13:53:21 | INFO | modules.bot:request_manager:542 | Notification sent to staff 8035667634 for chat 5
2026-01-13 13:58:20 | INFO | modules.bot:request_manager:542 | Notification sent to staff 8035667634 for chat 4
2026-01-13 14:03:48 | INFO | modules.bot:start_command:100 | Created new chat for user 705867842
